# f in Hz,       U in mV
20              620
40              560
80              310
150             68
151             28
152             26
153             22
154             18
155             16
156             15
157             8
158             7
159             6
160             3.6
161             1
162             3
163             6
164             8
165             12
166             14
167             17
168             19
169             22
170             25
180             50
190             72
200             100
400             360
800             720
1600            600
3200            610
6400            610
12800           605
25600           600
30000           580
