#v in Hz    Amplitude U_c in V  Abstand a in s     Peridendauer T in s
40          8.5                 0                   0
50          9                   0                   0
80          8.5                 0                   0
160         7.5                 0                   0
300         8                   0                   0
600         7.5                 0                   0
1000        8                   0                   0
1500        8                   0                   0
2000        7                   0                   0
2500        6.4                 0                   0
3000        5.6                 0                   0
4000        4.8                 0                   0
5000        4                   0                   0
6000        3.2                 0                   0
7000        3                   0                   0
10000       2.2                 0.000004            0.000040
11000       2                   0.0000046           0.000040
15000       1.6                 0.000002            0.000040
20000       1.2                 0.0000015           0.0000225
22000       1                   0.000005            0.000020
25000       0.8                 0.0000025           0.000020
30000       0.8                 0                   0.000017
40000       0.4                 0                   0.000012
