#Winkel         Strom in myA
5               62
10              62
15              60
20              58
25              55
30              50
35              50
40              46
45              39
50              34
55              24
60              18           
62              15
66              8.8
70              3.2
72              1.4
74              0.85
75              0.85
78              5.1
80              11  
81              17
82              25
83              35
84              50   
85              52
