#die Messung mit dem Blei und dem Cs-135 einem Gamma Strahler N_0 = 845 über 900s
#Dicke in mm        Teilchenzahl    Messdauer
1.4                 10708           100
1.24                10348           100
1.18                9906            100
1.34                10048           100
1.16                10071           100
1.26                10430           100
1.14                10182           100
10.18               8357            200
10.20               9043            200
20.10               3375            200
