#𝑡/[min]    𝑇/[°C]  𝐼/[A *1e⁻11] 
0   -50.0   0.0195
1   -47.8   0.021
2   -46.4   0.0225
3   -44.8   0.024
4   -43.3   0.026
5   -41.9   0.028
6   -40.4   0.03
7   -39.0   0.033
8   -37.6   0.037
9   -36.3   0.042
10  -34.7   0.05
11  -33.1   0.059
12  -31.5   0.07
13  -30.0   0.086
14  -28.4   0.105
15  -26.8   0.125    
16  -25.3   0.155
17  -23.8   0.185
18  -22.4   0.23
19  -20.9   0.265
20  -19.4   0.34
21  -17.8   0.39
22  -16.3   0.45
23  -14.8   0.49
24  -13.2   0.52
25  -11.6   0.53
26  -10.1   0.5
27  -8.6    0.45
28  -7.1    0.38
29  -5.7    0.3
30  -4.3    0.24
31  -2.8    0.165
32  -1.4    0.125
33  -0.1    0.105
34  1.2     0.1  
35  2.8     0.1
36  4.4     0.11
37  6.1     0.12
38  7.8     0.13
39  9.4     0.14
40  10.8    0.15
41  12.3    0.155
42  13.3    0.165
43  14.9    0.17
44  16.2    0.175
45  17.7    0.18
46  19.2    0.185
47  20.7    0.19
48  22.3    0.195
49  23.8    0.2
50  25.3    0.205
51  26.8    0.2
52  28.2    0.195
53  29.7    0.19    
54  31.2    0.18
55  32.8    0.17
56  34.2    0.16
57  35.8    0.15
58  37.5    0.14
59  39.1    0.125
60  40.7    0.15
61  42.3    0.1
62  44.0    0.085
63  45.5    0.075
64  47.0    0.065
65  48.4    0.06
66  49.7    0.05
67  51.2    0.048
