#𝑡/[min]    𝑇/[°C]  𝐼/[pA] 
0   -50.0   0.015
1   -48.1   0.0165
2   -46.3   0.018
3   -44.8   0.02
4   -43.3   0.022
5   -41.7   0.026
6   -40.0   0.03
7   -37.7   0.036
8   -35.1   0.049
9   -32.6   0.066
10  -30.5   0.085
11  -28.7   0.105
12  -26.9   0.135
13  -25.2   0.17
14  -23.3   0.215
15  -21.2   0.28
16  -19.0   0.36
17  -16.8   0.46
18  -14.8   0.55
19  -12.7   0.64
20  -10.6   0.67
21  -8.8    0.66
22  -6.7    0.57
23  -4.7    0.45
24  -2.8    0.33
25  -1.0    0.21  
26  0.9     0.155
27  2.9     0.135
28  4.8     0.13
29  7.0     0.145
30  9.0     0.16
31  11.0    0.175
32  13.0    0.185
33  15.0    0.20
34  16.8    0.215
35  18.7    0.225
36  20.5    0.235
37  22.7    0.250
38  25.2    0.26
39  27.4    0.275
40  29.6    0.27
41  31.6    0.255
42  33.5    0.245
43  35.6    0.22
44  37.6    0.20
45  39.5    0.175
46  41.5    0.155
47  43.6    0.13
48  45.4    0.110
49  47.3    0.093
50  49.1    0.078
51  50.8    0.07
