 #Spannung U in V       Strom I in μA       Teilchen N
 350                    0.200               14737
 360                    0.150               14534
 370                    0.175               14835
 380                    0.200               14881
 390                    0.200               14749
 400                    0.220               14886        
 410                    0.220               14693
 420                    0.250               14795
 430                    0.300               14700
 440                    0.350               15023
 450                    0.360               14809
 460                    0.380               14631
 470                    0.380               14935
 480                    0.400               14865
 490                    0.400               14850
 500                    0.410               14921
 510                    0.400               14625
 520                    0.450               14925
 530                    0.500               14841
 540                    0.500               14801
 550                    0.500               14948
 560                    0.500               15026
 570                    0.500               15122
 580                    0.580               14837
 590                    0.600               15194
 600                    0.600               15043
 610                    0.600               15280
 620                    0.600               15134
 630                    0.620               15255
 640                    0.600               14959
 650                    0.600               15296
 660                    0.600               15403
 670                    0.600               15574
 680                    0.700               15498
 690                    0.800               15729
 700                    0.750               15689
