p/mbar 1.Messung    2.  3.  4.
5       0   0   0   0
50      6   3   3   2
100     8   12  8   4
150     10  15  9   6
200     13  16  11  8
250     15  18  12  11
300     18  20  16  13
350     21  23  19  15
400     23  25  21  17
450     28  27  23  19
500     31  30  25  21
550     34  32  29  23
600     35  34  31  25
650     38  37  33  27
700     40  39  36  29
750     42  42  39  34
800     44  44  42  38
850     46  46  45  39
900     48  48  47  41
950     50  50  49  44
1000    52  52  55  50 
